came,кейм,пришел,,,,
any,ени,любой,,,,
old,оулд,старый,,,,
still,стил,по-прежнему,,,,
after,афтэ,после,,,,
off,оф,выключенный,,,,
has,хэз,имеет,,,,
never,невэ,никогда,,,,
going,гоуин,идущий,,,,
even,ивэн,даже,,,,
much,мач,много,,,,
went,уэнт,пошел,,,,
too,ту,тоже,,,,
away,эуэй,прочь,,,,
something,самсин,что-то,что-нибудь,примерно,,
first,фёст,первый,сначала,,,
make,мейк,делать,производить,совершать,,
head,хед,голова,,,,
want,уонт,хотеть,,,,
turn,тён,поворачивать,повернуть,поворот,,
face,фейс,лицо,,,,
made,мейд,сделан,сделанный,,,
seem,сим,казаться,,,,
call,кол,звать,призыв,,,
ask,аск,спрашивать,,,,
should,шуд,должен,вспом.глагол,,,
through,сру,через,сквозь,,,
long,лон,длинный,долго,,,
let,лет,позволять,,,,
take,тейк,брать,доставлять,принимать,,
saw,со,видел,пила,,,
around,эрaунд,кругом,вокруг,поблизости,,
our,aуэ,наш,,,,
door,до,дверь,,,,
last,ласт,последний,прошлый,заключительный,,
tell,тел,говорить,,,,
might,майт,мог,мог бы,энергия,,
own,оун,свой,владеть,,,
night,найт,ночь,вечер,,,
year,йиэ,год,,,,
must,маст,должен,обязан,,,
because,бикоз,потому что,,,,
voice,войс,голос,,,,
such,сач,такой,тот,подобный,,
room,рум,комната,,,,
place,плейс,место,помещать,,,
those,зоуз,те,,,,
work,уёк,работа,работать,,,
put,пут,положить,положил,класть,,
bill,бил,законопроект,счёт,,,
nothing,насин,ничего,,,,
most,моуст,самый большой,наибольший,,,
house,хaус,дом,,,,
why,уай,почему,зачем,,,
may,мей,мочь,май,смочь,,
side,сайд,сторона,,,,
great,грейт,великий,большой,,,
these,зиз,эти,,,,
white,уайт,белый,,,,
people,пипл,люди,нация,народ,,
upon,эпон,на,,,,
left,лефт,левый,,,,
open,оупэн,открывать,,,,
himself,химселф,себя,сам,,,
friend,френд,друг,,,,
felt,фелт,чувствовал,войлок,,,
three,сри,3,три,,,
knew,нью,знал,,,,
another,эназэ,другой,,,,
once,уанс,однажды,один раз,когда-то,,
give,гив,давать,,,,
almost,олмоуст,почти,,,,
mind,майнд,разум,мнение,ум,,
took,тук,брал,хватал,,,
light,лайт,свет,,,,
yes,йес,да,,,,
love,лав,любовь,любить,,,
end,енд,конец,,,,
boy,бой,мальчик,парень,,,
looking,лукин,смотреть,,,,
while,уайл,в то время как,,,,
sound,сaунд,звук,звучать,,,
moment,моумэнт,миг,момент,,,
men,мен,мужчины,люди,,,
ever,евэ,когда-либо,,,,
under,андэ,под,ниже,,,
told,тоулд,говорил,рассказывал,,,
really,риэли,действительно,,,,
life,лайф,жизнь,,,,
world,уёлд,мир,вселенная,,,
same,сейм,тот же самый,,,,
sure,шуэ,уверенный,конечно,,,
new,нью,новый,,,,
found,фaунд,находил,встречал,,,
being,биин,существование,,,,
enough,инаф,достаточно,довольно,,,
gone,гон,ушли,ушёл,ушедший,,
many,мени,много,многие,,,
big,биг,большой,,,,
does,даз,делает,3е л.ед.наст.врем от do,,,
every,еври,каждый,всякий,,,
began,бигэн,начинал,начиналось,,,
always,олуэйз,всегда,,,,
girl,гёл,девочка,девушка,,,
home,хоум,дом,,,,
without,уизaут,без,в отсутствие,,,
heard,хёд,слышал,услышал,,,
toward,тэуод,к,в направлении,,,
need,нид,нуждаться,необходимость,,,
stop,стоп,остановка,останавливать,останавливаться,,
maybe,мейби,может быть,,,,
part,пат,доля,часть,отчасти,,
use,юз,применение,польза,употреблять,использовать,применять
okay,оукей,хорошо,ладно,есть,,
use,юз,применение,польза,употреблять,использовать,применять
thought,сот,хотя,даже,тем не менее,,
far,фа,дальний,далеко,,,
name,нейм,имя,название,,,
word,уёд,слово,,,,
behind,бихайнд,за,сзади,позади,,
try,трай,пытаться,пробовать,,,
help,хелп,помощь,помогать,,,
also,олсоу,тоже,также,,,
better,бетэ,лучший,наилучший,,,
mean,мин,середина,значить,подразумевать,,
father,фазэ,отец,,,,
against,эгенст,против,,,,
anything,енисин,что-нибудь,что угодно,,,
start,стат,начало,начинать,,,
yet,йет,ещё,всё ещё,,,
walk,уок,ходьба,ходить,,,
woman,уумэн,женщина,,,,
seen,син,видел,,,,
close,клоус,близкий,тесный,близко,закрывать,
remember,римембэ,помнить,вспоминать,,,
car,ка,автомобиль,машина,,,
between,битуин,между,,,,
until,энтил,до,до тех пор,пока,,
both,боус,оба,,,,
done,дан,сделанный,выполненный,,,
god,год,бог,,,,
find,файнд,находить,обнаруживать,,,
water,уотэ,вода,,,,
arm,ам,рука,,,,
few,фью,немного,несколько,,,
hear,хиэ,слышать,слушать,,,
dog,дог,собака,,,,
happen,хэпэн,случаться,,,,
its,итс,его,её,свой,(о предмете),
book,бук,книга,,,,
morning,монин,утро,утренний,,,
kid,кид,ребёнок,малыш,,,
street,стрит,улица,,,,
believe,билив,верить,,,,
talk,ток,разговор,говорить,,,
mother,мазэ,мать,,,,
kind,кайнд,сорт,разряд,вид,класс,
coming,камин,прибытие,приезд,,,
each,ич,каждый,всякий,,,
black,блэк,черный,,,,
half,хаф,половина,,,,
red,ред,красный,алый,рыжий,,
stood,студ,стоял,водружал,,,
young,ян,молодой,юный,,,
shall,шэл,должны,вспом.и модальный глаг.,,,
show,шоу,показ,показывать,,,
feet,фит,ноги,,,,
feel,фил,чувствовать,,,,
keep,кип,держать,,,,
next,некст,следующий,будущий,потом,,
dark,дак,тёмный,,,,
along,элон,вдоль,по,рядом,,
pass,пас,проход,путь,передавать,,
course,кос,курс,ход,течение,,
window,уиндоу,окно,,,,
dead,дед,мертвый,,,,
hour,aуэ,час,время,,,
wanted,уонтид,разыскиваемый,востребованный,желаемый,требуемый,
matter,мэтэ,вещество,материал,иметь значение,,
since,синс,с тех пор,с,после,,
cry,край,плакать,плач,,,
heart,хат,сердце,,,,
answer,ансэ,ответ,отвечать,откликаться,,
small,смол,маленький,,,,
yeah,йеэ,да,ну,угу,,
doing,дуин,дела,акт,действие,,
four,фо,4,четыре,,,
move,мув,двигать,двигаться,,,
live,лив,жить,существовать,,,
suddenly,саднли,вдруг,,,,
five,файв,5,пять,,,
body,боди,тело,,,,
fire,файэ,огонь,пожар,стрелять,поджигать,
mouth,мaус,рот,,,,
leave,лив,покидать,,,,
smile,смайл,улыбка,улыбаться,,,
state,стейт,государство,страна,держава,,
family,фэмили,семья,семейство,,,
road,роуд,дорога,путь,,,
front,франт,перед,фасад,передний,,
laugh,лаф,смех,смеяться,,,
gave,гейв,дал,давать,предоставлять,,
across,экрос,через,сквозь,между,,
step,степ,шаг,шагать,,,
quite,куайт,довольно,вполне,полностью,,
change,чейндж,менять,изменение,изменять,перемена,
later,лейтэ,позже,более поздний,попозже,позднее,
together,тэгезэ,вместе,совместно,сообща,,
soon,сун,скоро,вскоре,,,
least,лист,минимальный,наименьший,наименее,,
second,секэнд,секунда,второй,,,
kill,кил,убивать,убить,убийство,,
watch,уоч,смотреть,следить,наблюдение,часы,
wife,уайф,жена,супруга,,,
hard,хад,жёсткий,твёрдый,трудный,,
wait,уэйт,ждать,подождать,,,
sat,сэт,сидел,находился,севший,,
feeling,филин,ощущение,чувство,,,
high,хай,высокий,,,,
guy,гай,парень,,,,
idea,айдиэ,идея,мысль,,,
line,лайн,линия,черта,строка,,
fear,фиэ,боязнь,страх,ужас,,
miss,мис,потеря,утрата,промах,,
bad,бэд,плохой,дурной,,,
hair,хеэ,волосы,волос,,,
minute,минит,минута,момент,,,
everything,еврисин,всё,что угодно,,,
please,плиз,пожалуйста,,,,
gray,грей,серый,седой,,,
follow,фолоу,следовать,следить,,,
hope,хоуп,надежда,надеяться,,,
blood,блад,кровь,,,,
won,уан,выиграл,победил,,,
air,еэ,воздух,атмосфера,,,
perhaps,пэхэпс,может быть,возможно,,,
set,сет,ставить,класть,набор,комплект,
tree,три,дерево,древо,деревце,,
run,ран,бежать,бегать,запустить,,
death,дес,смерть,,,,
else,елс,ещё,кроме,иначе,,
already,олреди,уже,,,,
myself,майселф,себя,себе,собой,,
bed,бед,кровать,,,,
lot,лот,жребий,доля,лот,,
point,пойнт,острие,точка,пункт,смысл,
money,мани,деньги,,,,
getting,гетин,получить,приобрести,получение,получающий,
rest,рест,отдых,отдыхать,,,
whole,хоул,весь,целый,полный,,
pull,пул,тянуть,тащить,потянуть,,
business,бизнис,дело,занятие,бизнес,,
either,айзэ,один из двух,тот или другой,любой,,
lady,лейди,леди,дама,,,
play,плей,играть,игра,,,
suppose,сэпоуз,полагать,думать,предполагать,,
top,топ,верхушка,верхний,топ,,
reach,рич,достигать,достичь,,,
week,уик,неделя,,,,
thank,сэнк,благодарить,поблагодарить,,,
wall,уол,стена,ограда,стенка,,
real,риэл,реальный,настоящий,,,
held,хелд,держал,обнимал,,,
best,бест,самый лучший,наилучший,лучший,,
read,рид,читать,прочитать,,,
thinking,синкин,размышление,мышление,размышляющий,,
inside,инсайд,внутренний,внутри,,,
stay,стей,останавливаться,остаться,оставаться,,
question,куэсчэн,вопрос,,,,
full,фул,полный,целый,,,
cold,коулд,холодный,холод,,,
die,дай,умирать,умереть,,,
sir,сё,сэр,господин,,,
case,кейс,случай,обстоятельство,чехол,,
ran,рэн,бегал,побежал,,,
sometimes,самтаймз,иногда,временами,,,
power,пaуэ,сила,мощь,власть,мощность,
wish,уиш,желать,хотеть,желание,,
dream,дрим,мечта,сон,мечтать,,
stand,стэнд,стоять,ставить,стойка,,
son,сан,сын,,,,
herself,хёселф,себя,себе,собой,сама,саму себя
pretty,прити,милый,прелестный,хорошенький,,
paper,пейпэ,бумага,,,,
shoulder,шоулдэ,плечо,,,,
care,кеэ,забота,беспокоиться,уход,,
alone,элоун,единственный,один,в одиночестве,наедине,
making,мейкин,создание,становление,изготовление,,
near,ниэ,возле,ближний,рядом,около,
finger,фингэ,палец,,,,
hold,хоулд,держать,владеть,вмещать,,
return,ритён,возвращаться,возвращение,возврат,вернуть,
fact,фэкт,факт,событие,случай,,
understand,андэстэнд,понимать,понять,,,
guess,гес,гадать,догадываться,угадай,догадка,предположение
table,тейбл,стол,,,,
dear,диэ,дорогой,милый,любимый,,
trying,трайин,трудный,тяжёлый,,,
fell,фел,падал,упал,,,
floor,фло,пол,этаж,,,
mile,майл,миля,,,,
probably,пробэбли,вероятно,наверное,,,
type,тайп,тип,,,,
deep,дип,глубокий,,,,
glass,глас,стекло,стакан,бокал,,
standing,стэндин,репутация,ранг,стоящий,,
trouble,трабл,беспокойство,волнение,,,
however,хaуевэ,однако,тем не менее,,,
taken,тейкэн,взятый,прич прош.вр.от take,,,
hey,хей,здорово,привет,эй,,
sort,сот,род,сорт,тип,,
lay,лей,класть,положить,,,
town,тaун,город,городок,,,
sleep,слип,сон,дремота,,,
school,скул,школа,,,,
lost,лост,потерянный,потерявшийся,,,
green,грин,зелёный,,,,
gonna,гонэ,собираться,(что-л. Сделать),,,
lip,лип,губа,,,,
round,рaунд,круглый,,,,
clear,клиэ,ясно,чётко,чистый,,
having,хэвин,владение,обладание,,,
scream,скрим,крик,вопить,,,
touch,тач,касаться,трогать,,,
blue,блу,голубой,лазурный,синий,,
hundred,хандрэд,сто,100,,,
known,ноун,известный,прич.прош.вр.от know,,,
running,ранин,бегающий,беготня,,,
large,ладж,большой,крупный,,,
surprise,сэпрайз,удивление,,,,
beside,бисайд,рядом,с,близ,около,
talking,токин,разговор,говорящий,,,
ten,тен,десять,10,,,
less,лес,меньший,меньше,,,
letter,летэ,буква,,,,
twenty,туэнти,двадцать,20,,,
snow,сноу,снег,,,,
kept,кепт,держал,хранится,прош.вр.прич.прош.в.от keep,,
brought,брот,привел,принес,прош.вр.прич.прош.в.от bring,,
someone,самуан,кто-нибудь,Кто-то,,,
past,паст,прошлое,прошедшее,,,
country,кантри,страна,,,,
leg,лег,нога,от бедра до ступни,,,
pick,пик,собирать,снимать,рвать,,
brother,бразэ,брат,,,,
wood,ууд,лес,древесина,,,
women,уимин,женщины,,,,
wrong,рон,неправильный,неверный,,,
sense,сенс,чувство,ощущение,,,
hurt,хёт,ушиб,рана,травма,,
cut,кат,резать,,,,
drop,дроп,капать,опускать,,,
ring,рин,кольцо,ринг,звенеть,,
sitting,ситин,заседание,собрание,,,
true,тру,верный,правильный,,,
poor,пуэ,исправность,малоимущий,,,
order,одэ,исправность,порядок,,,
fang,фэн,клык,зуб,крюк,,
child,чайлд,ребёнок,дитя,,,
ready,реди,готовый,,,,
land,лэнд,земля,суша,,,
hot,хот,горячий,жаркий,,,
speak,спик,говорить,разговаривать,,,
children,чилдрэн,дети,,,,
fine,файн,хороший,прекрасный,отлично,,
given,гивн,нечто данное,исходное,данный,,
able,ейбл,способный,,,,
become,бикам,становиться,делаться,,,
low,лоу,низкий,невысокий,,,
person,пёсн,человек,личность,,,
evening,ивнин,вечер,,,,
outside,aутсайд,внешняя,наружная,часть,,
listen,лисн,слушать,выслушивать,,,
wind,уинд,ветер,,,,
smell,смел,запах,аромат,,,
chair,чеэ,стул,кресло,,,
six,сикс,шесть,6,,,
forward,фоуэд,вперёд,передний,,,
hill,хил,возвышенность,холм,,,
reason,ризн,причина,повод,основание,,
ground,грaунд,земля,,,,
above,эбав,наверху,вверху,выше,,
chance,чанс,шанс,возможность,,,
story,стори,повесть,рассказ,,,
late,лейт,поздний,поздно,,,
saying,сейин,высказывание,поговорка,,,
star,ста,звезда,,,,
husband,хазбэнд,муж,супруг,,,
ago,эгоу,тому назад,,,,
except,иксепт,исключать,за исключением,,,
lord,лод,господин,владыка,,,
sorry,сори,огорчённый,сожалеющий,,,
number,намбэ,число,сумма,цифра,,
roll,роул,катиться,вращение,,,
longer,лонгэ,дольше,,,,
rock,рок,скала,камень,,,
learn,лён,учиться,учить,,,
often,офэн,часто,много раз,,,
although,олзоу,хотя,если бы даже,,,
shit,шит,дерьмо,вздор,чёрт,блин,
sister,систэ,сестра,,,,
strange,стрейндж,чужой,странный,,,
bring,брин,приносить,привозить,,,
pain,пейн,боль,горе,,,
nod,нод,кивок,кивать,,,
fall,фол,падать,осень,,,
finally,файнэли,окончательно,,,,
among,эман,между,посреди,,,
cause,коз,причина,основание,потому что,,
afraid,эфрейд,испуганный,напуганный,,,
notice,ноутис,сообщение,уведомление,замечать,,
sun,сан,солнце,,,,
month,манс,месяц,,,,
shut,шат,закрывать,запирать,засов,,
box,бокс,ящик,коробка,,,
hell,хел,ад,,,,
office,офис,офис,,,,
during,дьюэрин,в течение,в продолжение,,,
wonder,уандэ,удивление,удивляться,,,
beyond,бийонд,за,по ту сторону,далеко,,
became,бикейм,становился,делался,,,
shadow,шэдоу,тень,,,,
slowly,слоули,медленно,,,,
instead,инстед,вместо,взамен,,,
ear,иэ,ухо,,,,
picture,пикчэ,картина,рисунок,фотография,,
interest,интрист,интерес,,,,
cannot,кэнот,не могу,не мочь,,,
present,презнт,текущий момент,настоящее время,,,
bit,бит,кусочек,частица,,,
living,ливин,образ жизни,жизнь,живущий,,
remain,римейн,оставаться,,,,
appear,эпиэ,показываться,появляться,,,
store,сто,магазин,запас,резерв,,
marry,мэри,жениться,,,,
rather,разэ,лучше,охотнее,,,
doubt,дaут,сомнение,сомневаться,,,
teeth,тис,зубы,,,,
force,фос,сила,,,,
spoke,споук,говорил,сказал,,,
finish,финиш,конец,окончание,заканчивать,,
indeed,индид,в самом деле,действительно,,,
seat,сит,сиденье,место,,,
nor,но,также не,тоже не,,,
save,сейв,спасать,сохранить,спасти,,
job,джоб,работа,труд,,,
war,уо,война,,,,
dress,дрес,одежда,платье,,,
cover,кавэ,накрывать,покрывать,крышка,обложка,
realize,риэлайз,выполнять,реализовывать,,,
gun,ган,орудие,пушка,пистолет,револьвер,
heavy,хеви,тяжёлый,крупный,,,
waiting,уэйтин,ожидание,выжидание,,,
fellow,фелоу,человек,парень,,,
sign,сайн,знак,символ,подписывать,,
stuff,стаф,материал,состав,вещество,,
decide,дисайд,решать,принимать решение,,,
expect,икспект,ждать,ожидать,,,
hit,хит,ударять,поражать,,,
corner,конэ,угол,,,,
beaver,бивэ,бобр,бобёр,женские половые органы,,
king,кин,король,,,,
happy,хэпи,счастливый,довольный,,,
phone,фоун,телефон,,,,
several,севрэл,некоторые,несколько,,,
city,сити,город,,,,
news,ньюз,новости,,,,
summer,самэ,лето,,,,
different,дифрэнт,другой,отличный,,,
sit,сит,сидеть,садиться,,,
actually,экчуэли,фактически,на самом деле,,,
caught,кот,пойманный,,,,
taking,тейкин,захват,взятие,,,
broken,броукэн,разбитый,сломанный,,,
early,ёли,начальный,ранний,,,
bright,брайт,яркий,блестящий,,,
daughter,дотэ,дочь,,,,
enter,ентэ,вход,входить,,,
shot,шот,выстрел,,,,
carry,кэри,нести,носить,,,
foot,фут,ступня,,,,
scare,скеэ,пугать,испугать,,,
tad,тэд,ребёнок,капелька,чуточка,,
holding,хоулдин,вклад,закрепление,удерживание,,
human,хьюмэн,людской,человеческий,,,
whatever,уотевэ,какой бы ни,любой,,,
yourself,ёселф,себя,себе,собой,,
form,фом,форма,вид,,,
worry,уари,надоедать,докучать,,,
shook,шук,тряс,встряхивал,,,
exactly,игзэктли,в точности,точно,,,
neck,нек,шея,,,,
fill,фил,наполнять,,,,
certain,сётн,точный,определённый,,,
nose,ноуз,нос,,,,
brutal,брутл,жестокий,горький,брутальный,,
continue,кэнтинью,продолжать,продолжаться,оставлять,,
drink,дринк,напиток,глоток,пить,выпить,
free,фри,освобождать,освобождаться,свободный,бесплатный,
sky,скай,небо,небеса,,,
mark,мак,отметка,оценка,отмечать,,
company,кампэни,компания,,,,
breath,брес,дыхание,вдох,вдыхать,дышать,
reply,риплай,ответ,отклик,отвечать,,
fat,фэт,жир,сало,полный,толстый,жирный
park,пак,парк,стоянка,причал,парковать,припарковать
rose,роуз,розовый,розетка,роза,,
whose,хуз,чей,которого,,,
figure,фигэ,фигура,телосложение,статуя,фигурировать,
lie,лай,ЛОЖЬ,неправда,вранье,лежать,лгать
act,экт,акт,закон,действовать,,
anyway,ениуэй,в любом случае,так или иначе,По-любому,как бы там ни было,как бы то ни было
cross,крос,крест,пересечение,крестик,пересекаться,пересекать
master,мастэ,мастер,владелец,магистр,справляться,основной
game,гейм,игра,игровой,играть,,
pocket,покит,карман,луза,присваивать,карманный,
stone,стоун,камень,каменный,,,
strong,строн,сильный,мускулистый,прочный,крепкий,твердый
russian,рашэн,русский,русская,российский,россиянин,россиянка
horse,хос,лошадь,конь,лошадка,лошадиный,конский
baby,бейби,ребенок,младенцы,младенец,баловать,детский
knee,ни,колено,коленка,коленный,,
police,пэлис,полиция,полицейский,,,
silence,сайлэнс,тишина,молчание,тишь,заставлять замолчать,
watching,уочин,наблюдение,наблюдать,рассматривать,смотреть,следить
afternoon,афтэнун,день,во второй половине дня,полдень,послеобеденный,
dollar,долэ,доллар,долларовый,бакс,,
eat,ит,есть,поесть,кушать,покушать,
deal,дил,обращение,количество,соглашение,сделка,иметь дело
fast,фаст,быстро,скоро,быстрый,скорый,
add,эд,добавлять,дополнять,начислять,,
itself,итселф,оно,себя,сам,самостоятельно,
none,нан,никто,ни один,,,
check,чек,проверять,зарегистрировать,проверка,чек,чековый
sonny,сани,сынок,сыночек,сынуля,,
cheek,чик,щека,щечка,говорить дерзости,,
meant,мент,означать,подразумевать,хотеть,иметь в виду,значить
push,пуш,толчок,толкать,продвигаться,стремление,запихнуть
nature,нейчэ,природа,характер,естественность,сущность,натура
fucking,факин,траханье,чертов,гребаный,трахать,трахаться
struck,страк,ударять,попадать,поражать,бить,наносить
tear,теэ,слеза,разрыв,дырка,рваться,рвать
chapter,чэптэ,глава,разбивать на главы,,,
middle,мидл,середина,средний,серединный,,
note,ноут,примечание,комментарий,записка,отмечать,упоминать
crazy,крейзи,сумасшедший,бредовый,ненормальный,шальной,
sent,сент,посылать,засылать,отдавать,отсылать,слать
smoke,смоук,дым,задымление,курить,дымить,коптить
bird,бёд,птица,птаха,птичий,,
raise,рейз,подъем,повышение,поднимать,воспитывать,выращивать
promise,промис,обещание,обещать,давать себе слово,,
thousand,сaузэнд,тысяча,1000,,,
hall,хол,зал,холл,прихожая,,
nice,найс,хороший,любезный,приятный,симпатичный,
moving,мувин,перемещение,движение,движущийся,перемещение,двигаться
seeing,сиин,наблюдение,просмотр,видеть,рассматривать,увидеть
whom,хум,кто,который,,,
law,ло,закон,право,правило,юриспруденция,закономерность
meet,мит,встречать,встреча,встречаться,сходиться,увидиться
quiet,куайэт,тихий,смирный,спокойный,успокаивать,покой
sight,сайт,вид,достопримечательности,осмотр,зрение,увидеть
throat,сроут,горло,глотка,гортань,сужение,горловой
age,ейдж,возраст,эпоха,век,стареть,
wide,уайд,широкий,широко,размашистый,,
desire,дизайэ,желание,вожделение,вожделение,желать,требовать
hole,хоул,отверстие,дырка,лунка,продырявливать,дыра
certainly,сётнли,конечно,определенно,безусловно,непременно,разумеется
terrible,терэбл,ужасный,грозный,жуткий,страшный,чудовищный
earth,ёс,земля,земной,земляной,,
kiss,кис,поцелуй,целоваться,целовать,поцеловать,поцеловаться
lock,лок,замок,затвор,запор,блокировка,запирать
manner,мэнэ,способ,манера,поведение,образ,
party,пати,вечеринка,партия,участник,праздновать,гулянка
movie,муви,фильм,кинокартина,кинотеатр,кино,кинофильм
possible,посэбл,приемлемый,сносный,осуществимый,возможный,
kitchen,кичин,кухня,гарнир,приправа,закуска,кухонный
piece,пис,часть,кусочек,штука,соединять,
attention,этеншэн,внимание,внимательность,рассмотрение,забота,
silver,силвэ,серебро,серебряный,серебристый,,
damn,дэм,проклинать,проклятый,чертовски,черт побери,
folk,фоук,народ,люди,родня,народный,фолк
glance,гланс,взгляд,глядеть,поглядеть,просматривать,заглянуть
themselves,зэмселвз,они,себя,сам,самостоятельно,
laughing,лафин,смех,смешной,смеющийся,смеяться,засмеяться
pay,пей,платить,заплатить,оплачивать,плата,оплата
fuck,фак,трахать,трахаться,,,
easy,изи,легкий,беспечный,непринужденный,простой,нетрудно
west,уэст,запад,западный,,,
whisper,уиспэ,шепот,слух,шептать,нашептывать,прошептать
today,тэдей,сегодня,в наши дни,на сегодняшний день,сегодняшний день,
railly,рейли,митинг,ралли,резкий подъем,подъем,вырасти
telling,телин,сообщение,выразительный,говорить,сказать,рассказывать
shirt,шёт,рубашка,футболка,рубаха,сорочка,
ahead,эхед,вперед,впереди,,,
till,тил,до,пока,,,
walking,уокин,ходьба,гуляющий,обход,ходячий,идти
edge,едж,лезвие,край,грани,кромка,обрамлять
empty,емпти,опустеть,освобождать,пустеть,пустой,
quickly,куикли,быстро,оперативно,поскорей,часто,в срочном порядке
north,нос,север,норд,северный,полярный,
simply,симпли,просто,несложно,попросту,упрощенно,
tire,тайэ,шина,покрышка,шинный,утомляться,уставать
food,фуд,еда,продукты,корм,пища,питания
somehow,самхaу,так или иначе,Почему-то,Как-нибудь,Как-то,кое-как
clock,клок,часы,счетчик,часовой,,
nearly,ниэли,почти,недалеко,едва,практически,чуть
bag,бэг,сумка,мешок,пакет,напихивать,увольнять
clothes,клоузз,одежда,одевать,,,
south,сaус,юг,южный,,,
american,эмерикэн,американец,американка,американский,,
unite,юнайт,объединять,объединяться,соединяться,соединять,
devore,диво,девор,,,,
pleasure,плежэ,удовольствие,наслаждение,радость,блаженство,
river,ривэ,река,речка,речной,,
problem,проблэм,проблема,проблемный,трудный,задачка,
below,билоу,ниже,внизу,,,
break,брейк,перерыв,разрыв,ломать,срывать,проломить
couple,капл,пара,парочка,соединяться,спаривать,связываться
report,рипот,доклад,отчет,протокол,сообщать,докладывать
key,ки,ключ,клавиша,тональность,включать,ключевой
shape,шейп,форма,вид,формировать,слепить,придавать форму
within,уизин,в течение,на,во,в рамках,
third,сёд,треть,третий,трех,,
anyone,ениуан,любой,ни один,никто,Кто-либо,кто угодно
count,кaунт,количество,пункт,подсчет,считать,количество
quick,куик,быстрый,скорый,проворный,быстро,
seven,севн,семь,7,семеро,,
plan,плэн,план,проект,схема,планировать,запланировать
tonight,тэнайт,сегодня вечером,сегодня ночью,сегодняшним вечером,,
path,пас,путь,дорожка,траектория,,
yellow,йелоу,желтый,желтеть,,,
drive,драйв,везти,ехать,двигаться,поездка,возить
huge,хьюдж,огромный,большущий,гигантский,здоровенный,
bank,бэнк,банк,банка,положить в банк,хранить деньги,
control,кэнтроул,контроль,управление,управлять,контролировать,
memory,мемэри,память,воспоминания,воспоминание,,
working,уёкин,работа,разработка,рабочий,работать,трудиться
brain,брейн,мозг,,,,
goes,гоуз,идти,пойти,проходить,поехать,сходить
met,мет,встречать,выполнять,встретились,,
professor,прэфесэ,профессор,преподаватель,,,
mine,майн,шахта,рудник,месторождение,добывать,мой
wearing,уээрин,ношение одежды,ношение,износ,носить,
